Name	PeakFile/Annotation	#features[ref=17313]	Coverage(bp)[ref=6951391]	AvgFeatureSize[ref=401]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
enhancers.5'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.5'.txt	6256	644981	103	53	5333	2241	0.87	-5.30	4.98e-03
enhancers.Other.T.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Other.T.txt	18502	19984323	1080	256	77459	69459	0.11	-2.63	7.19e-02
enhancers.B.cell.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.B.cell.txt	57721	61293029	1061	750	224188	213035	0.05	-2.16	1.15e-01
enhancers.basic.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.final.annotation	1223986	76498776015	624991.0	17313	6968704	265886451	-3.64	-0.00	1.00e+00
enhancers.Intergenic.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Intergenic.txt	92465	74871258640	8097251.0	3282	840563	260229696	-5.74	-0.00	1.00e+00
gwascatalog.proxy.disease.final.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.v2.txt	22354	32999977646	14762441.0	16809	6785296	114697873	-2.83	-0.00	1.00e+00
gwascatalog.proxy.disease.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.v2.txt	268093	11166	0	37	76	38	0.69	-0.00	1.00e+00
enhancers.basic.reordered.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.annotation	2313110	76499695543	330721.0	17313	6973180	265889647	-3.64	-0.00	1.00e+00
enhancers.basic.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.annotation	2313110	76499695543	330721.0	17313	6973180	265889647	-3.64	-0.00	1.00e+00
enhancers.basic.reordered.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.final.annotation	1223989	76498776019	624991.0	17313	6968704	265886451	-3.64	-0.00	1.00e+00
gwascatalog.proxy.disease.final.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.txt	22354	32999977646	14762441.0	16809	6785296	114697873	-2.83	-0.00	1.00e+00
enhancers.Tmem.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Tmem.txt	23855	25441945	1066	269	79122	88428	-0.11	2.86	5.71e-02
enhancers.non-coding.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.non-coding.txt	15294	6036389	394	42	7821	20980	-0.99	16.10	1.01e-07
enhancers.3'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.3'.txt	12561	12723571	1012	47	10385	44223	-1.45	50.78	8.83e-23
enhancers.exon.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.exon.txt	106140	17705341	166	157	17188	61538	-1.28	60.01	8.64e-27
enhancers.TTS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.TTS.txt	19412	17606597	906	79	16568	61195	-1.31	60.69	4.38e-27
enhancers.intron.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.intron.txt	214372	789290513	3681	2208	545128	2743333	-1.62	4535.29	0.00e+00
